"ID","response","data_location","duration","confidence","reason","lineup","attempt","weight"
3,"10",10,128,2,"1_","turk11-dialyzernonlinear-1",6,1
4,"13",10,20,2,"3_","turk11-autismfanned2-4",10,1
4,"10",10,39,1,"4_","turk11-dialyzernonlinear-5",1,1
4,"20",10,20,2,"1_","turk11-autismordered-1",4,1
4,"4",16,32,3,"1_","turk11-examfanned-4",5,1
4,"8",6,39,3,"3_","turk11-examcorr-3",9,0.5
4,"6",6,39,3,"3_","turk11-examcorr-3",9,0.5
4,"19",19,27,3,"1_","turk11-dialyzerheterogeneous-1",8,0.25
4,"10",19,27,3,"1_","turk11-dialyzerheterogeneous-1",8,0.25
4,"4",19,27,3,"1_","turk11-dialyzerheterogeneous-1",8,0.25
4,"3",19,27,3,"1_","turk11-dialyzerheterogeneous-1",8,0.25
4,"20",20,63,2,"2_","turk11-radontranef-4",7,1
4,"13",13,49,3,"1_","turk11-cyclone-3",11,0.333333333333333
4,"11",13,49,3,"1_","turk11-cyclone-3",11,0.333333333333333
4,"20",13,49,3,"1_","turk11-cyclone-3",11,0.333333333333333
5,"14",16,201,1,"1_","turk11-autismfanned2-5",5,1
5,"4",10,60,1,"1_","turk11-autismordered-5",8,0.25
5,"3",10,60,1,"1_","turk11-autismordered-5",8,0.25
5,"17",10,60,1,"1_","turk11-autismordered-5",8,0.25
5,"6",10,60,1,"1_","turk11-autismordered-5",8,0.25
5,"20",13,299,1,"1_","turk11-cyclone-4",2,1
5,"2",16,218,1,"1_","turk11-examfanned-2",1,0.5
5,"4",16,218,1,"1_","turk11-examfanned-2",1,0.5
5,"14",10,153,1,"1_","turk11-dialyzernonlinear-1",10,0.333333333333333
5,"9",10,153,1,"1_","turk11-dialyzernonlinear-1",10,0.333333333333333
5,"19",10,153,1,"1_","turk11-dialyzernonlinear-1",10,0.333333333333333
5,"18",18,84,1,"1_","turk11-radontranef-2",4,1
5,"8",8,60,1,"1_","turk11-examcorr-2",7,1
5,"3",19,108,1,"1_","turk11-dialyzerheterogeneous-1",11,0.333333333333333
5,"4",19,108,1,"1_","turk11-dialyzerheterogeneous-1",11,0.333333333333333
5,"10",19,108,1,"1_","turk11-dialyzerheterogeneous-1",11,0.333333333333333
6,"4",14,176,4,"1234_","turk11-radontranef-3",8,0.2
6,"20",14,176,4,"1234_","turk11-radontranef-3",8,0.2
6,"8",14,176,4,"1234_","turk11-radontranef-3",8,0.2
6,"18",14,176,4,"1234_","turk11-radontranef-3",8,0.2
6,"15",14,176,4,"1234_","turk11-radontranef-3",8,0.2
6,"2",16,266,5,"1234_","turk11-examfanned-4",2,1
6,"6",6,64,5,"1234_","turk11-examcorr-3",6,1
6,"10",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"7",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"14",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"16",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"20",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"1",10,148,3,"1234_","turk11-dialyzernonlinear-3",11,0.166666666666667
6,"10",10,190,5,"1234_","turk11-autismordered-5",10,0.25
6,"3",10,190,5,"1234_","turk11-autismordered-5",10,0.25
6,"18",10,190,5,"1234_","turk11-autismordered-5",10,0.25
6,"6",10,190,5,"1234_","turk11-autismordered-5",10,0.25
6,"19",13,220,5,"1234_","turk11-cyclone-5",7,1
6,"18",12,149,5,"1234_","turk11-dialyzerheterogeneous-4",5,1
6,"7",16,161,4,"1234_","turk11-autismfanned2-5",9,1
7,"10",10,183,5,"3_","turk11-dialyzernonlinear-5",11,1
7,"18",7,241,4,"2_","turk11-dialyzerheterogeneous-5",3,1
7,"18",7,264,5,"4_","turk11-autismfanned2-3",7,1
7,"20",18,324,3,"1_","turk11-radontranef-2",9,1
7,"8",8,121,4,"3_","turk11-examcorr-2",2,1
7,"19",19,100,5,"3_","turk11-autismordered-2",5,1
7,"15",16,436,4,"4_","turk11-examfanned-5",8,1
7,"13",13,315,4,"3_","turk11-cyclone-4",4,1
8,"4",19,173,5,"1_","turk11-dialyzerheterogeneous-1",2,1
8,"18",18,185,5,"5_more angular","turk11-examcorr-4",9,1
8,"13",16,295,3,"3_","turk11-autismfanned2-1",4,1
8,"10",10,165,5,"3_","turk11-dialyzernonlinear-3",3,1
8,"20",14,139,5,"1_","turk11-radontranef-3",1,1
8,"6",16,459,4,"1_","turk11-examfanned-1",11,1
8,"12",12,114,5,"5_3 dots on upper side, while others have no upper dots","turk11-autismordered-4",5,1
8,"14",13,586,4,"14_","turk11-cyclone-4",10,0.333333333333333
8,"18",13,586,4,"14_","turk11-cyclone-4",10,0.333333333333333
8,"12",13,586,4,"14_","turk11-cyclone-4",10,0.333333333333333
9,"2",15,44,4,"4_","turk11-radontranef-5",7,0.2
9,"6",15,44,4,"4_","turk11-radontranef-5",7,0.2
9,"11",15,44,4,"4_","turk11-radontranef-5",7,0.2
9,"16",15,44,4,"4_","turk11-radontranef-5",7,0.2
9,"20",15,44,4,"4_","turk11-radontranef-5",7,0.2
9,"1",16,47,3,"3_","turk11-examfanned-2",4,1
9,"12",12,13,5,"4_","turk11-autismordered-4",12,1
9,"10",10,24,5,"4_","turk11-dialyzernonlinear-5",3,1
9,"8",8,28,4,"4_","turk11-examcorr-2",8,0.25
9,"3",8,28,4,"4_","turk11-examcorr-2",8,0.25
9,"19",8,28,4,"4_","turk11-examcorr-2",8,0.25
9,"16",8,28,4,"4_","turk11-examcorr-2",8,0.25
9,"3",7,40,4,"3_","turk11-dialyzerheterogeneous-5",9,0.2
9,"8",7,40,4,"3_","turk11-dialyzerheterogeneous-5",9,0.2
9,"1",7,40,4,"3_","turk11-dialyzerheterogeneous-5",9,0.2
9,"18",7,40,4,"3_","turk11-dialyzerheterogeneous-5",9,0.2
9,"17",7,40,4,"3_","turk11-dialyzerheterogeneous-5",9,0.2
9,"15",15,34,4,"2_","turk11-autismfanned2-2",2,1
9,"13",13,39,5,"1_","turk11-cyclone-4",10,1
9,"10",10,26,4,"4_","turk11-autismordered-5",11,1
10,"10",10,18,1,"3_","turk11-autismordered-1",7,1
10,"2",16,129,2,"3_","turk11-examfanned-1",9,1
10,"19",19,37,2,"3_","turk11-radontranef-1",2,1
10,"13",13,346,2,"23_","turk11-cyclone-2",11,1
10,"8",8,25,1,"3_","turk11-examcorr-2",8,1
10,"10",10,66,1,"3_","turk11-dialyzernonlinear-3",10,1
10,"13",12,148,2,"3_","turk11-dialyzerheterogeneous-4",3,1
10,"16",16,63,1,"3_","turk11-autismfanned2-1",6,1
12,"18",18,43,1,"4_","turk11-examcorr-4",1,1
12,"10",10,55,1,"1_","turk11-autismordered-5",7,1
12,"17",18,42,1,"3_","turk11-radontranef-2",10,1
12,"19",19,62,1,"34_","turk11-dialyzerheterogeneous-1",11,1
12,"10",10,35,1,"14_","turk11-dialyzernonlinear-4",6,1
12,"16",16,84,2,"2_","turk11-examfanned-1",3,1
12,"7",7,28,1,"3_","turk11-autismfanned2-3",5,1
12,"13",13,107,1,"3_","turk11-cyclone-2",2,1
13,"14",16,32,5,"13_","turk11-autismfanned2-1",4,1
13,"18",10,55,5,"2_","turk11-dialyzerheterogeneous-2",6,1
13,"13",13,48,5,"3_","turk11-cyclone-4",1,1
13,"18",18,17,5,"3_","turk11-examcorr-4",10,1
13,"19",19,26,5,"3_","turk11-radontranef-1",5,1
13,"10",10,37,5,"3_","turk11-dialyzernonlinear-2",3,1
13,"1",16,69,5,"1_","turk11-examfanned-2",9,1
13,"19",19,27,5,"2_","turk11-autismordered-2",2,1
16,"16",14,37,3,"3_","turk11-radontranef-3",9,1
16,"12",12,48,3,"3_","turk11-autismordered-4",7,1
16,"13",13,37,4,"3_","turk11-cyclone-2",10,1
16,"10",10,36,5,"2_","turk11-dialyzernonlinear-1",1,1
16,"6",16,69,4,"1_","turk11-examfanned-2",8,1
16,"10",10,13,5,"3_","turk11-examcorr-5",2,1
16,"12",15,68,3,"2_","turk11-autismfanned2-2",5,1
16,"19",19,47,4,"1_","turk11-dialyzerheterogeneous-1",4,1
17,"10",10,16,1,"3_","turk11-dialyzernonlinear-2",5,1
17,"16",16,40,2,"2_","turk11-autismfanned2-1",7,0.2
17,"14",16,40,2,"2_","turk11-autismfanned2-1",7,0.2
17,"13",16,40,2,"2_","turk11-autismfanned2-1",7,0.2
17,"7",16,40,2,"2_","turk11-autismfanned2-1",7,0.2
17,"12",16,40,2,"2_","turk11-autismfanned2-1",7,0.2
17,"2",13,54,2,"5_points outside of white lines","turk11-cyclone-1",6,0.5
17,"10",13,54,2,"5_points outside of white lines","turk11-cyclone-1",6,0.5
17,"19",19,25,2,"1_","turk11-radontranef-1",2,1
17,"19",16,26,2,"3_","turk11-examfanned-1",11,1
17,"19",19,19,2,"4_","turk11-autismordered-2",9,1
17,"19",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"5",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"8",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"2",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"7",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"20",19,64,2,"1_","turk11-dialyzerheterogeneous-3",4,0.166666666666667
17,"8",8,29,2,"3_","turk11-examcorr-2",1,1
18,"6",12,53,4,"3_","turk11-dialyzerheterogeneous-4",3,1
18,"8",8,33,2,"1_","turk11-examcorr-2",1,1
18,"20",10,569,2,"3_","turk11-autismordered-1",4,1
18,"13",13,83,5,"3_","turk11-cyclone-5",7,1
18,"6",20,59,3,"3_","turk11-radontranef-4",10,1
18,"20",10,72,2,"3_","turk11-autismfanned2-4",2,1
18,"5",16,39,3,"4_","turk11-examfanned-4",9,1
18,"10",10,56,1,"1_","turk11-dialyzernonlinear-2",5,1
19,"13",13,17,3,"13_","turk11-cyclone-4",2,1
19,"13",16,15,3,"13_","turk11-examfanned-4",1,1
19,"4",6,8,3,"4_","turk11-examcorr-3",10,1
19,"1",16,8,3,"3_","turk11-autismfanned2-5",5,1
19,"3",19,18,3,"3_","turk11-radontranef-1",3,1
19,"10",10,11,3,"3_","turk11-autismordered-1",4,1
19,"10",10,7,5,"3_","turk11-dialyzernonlinear-1",7,1
19,"10",7,9,3,"4_","turk11-dialyzerheterogeneous-5",12,1
19,"9",19,21,3,"5_The shape","turk11-dialyzerheterogeneous-1",8,1
20,"18",19,71,4,"13_","turk11-radontranef-1",11,0.333333333333333
20,"15",19,71,4,"13_","turk11-radontranef-1",11,0.333333333333333
20,"19",19,71,4,"13_","turk11-radontranef-1",11,0.333333333333333
20,"16",16,135,3,"1_","turk11-autismfanned2-1",6,1
20,"10",10,79,4,"3_","turk11-examcorr-5",4,0.5
20,"17",10,79,4,"3_","turk11-examcorr-5",4,0.5
20,"4",16,94,3,"1_","turk11-examfanned-3",3,1
20,"10",10,18,5,"3_","turk11-dialyzernonlinear-1",8,1
20,"12",12,81,4,"5_Size of low block disproportionally small compared to others","turk11-autismordered-4",10,1
20,"19",19,57,4,"4_","turk11-dialyzerheterogeneous-1",2,1
20,"13",13,73,5,"5_Spread on bottom is much narrower than others","turk11-cyclone-2",7,1
22,"16",16,9,2,"3_","turk11-autismfanned2-1",4,1
22,"16",16,24,3,"3_","turk11-examfanned-1",10,1
22,"11",19,27,4,"4_","turk11-dialyzerheterogeneous-3",6,1
22,"10",10,10,1,"3_","turk11-autismordered-1",3,1
22,"10",10,18,1,"3_","turk11-examcorr-5",5,1
22,"10",10,9,1,"4_","turk11-dialyzernonlinear-1",9,1
22,"13",13,27,3,"34_","turk11-cyclone-3",2,1
22,"20",14,17,2,"2_","turk11-radontranef-3",11,1
23,"8",8,21,4,"3_","turk11-examcorr-2",1,1
23,"10",10,24,4,"4_","turk11-dialyzernonlinear-1",7,1
23,"18",15,45,2,"3_","turk11-radontranef-5",5,1
23,"13",13,54,3,"3_","turk11-cyclone-1",2,1
23,"16",16,64,3,"3_","turk11-examfanned-4",4,1
23,"20",20,24,4,"3_","turk11-autismordered-3",8,1
23,"10",19,46,3,"4_","turk11-dialyzerheterogeneous-3",6,1
23,"20",7,48,3,"3_","turk11-autismfanned2-3",9,0.5
23,"17",7,48,3,"3_","turk11-autismfanned2-3",9,0.5
24,"19",13,26,1,"2_","turk11-cyclone-4",7,1
24,"10",10,20,5,"1_","turk11-dialyzernonlinear-4",10,1
24,"8",15,24,3,"4_","turk11-examcorr-1",2,0.333333333333333
24,"18",15,24,3,"4_","turk11-examcorr-1",2,0.333333333333333
24,"15",15,24,3,"4_","turk11-examcorr-1",2,0.333333333333333
24,"14",16,15,4,"2_","turk11-autismfanned2-5",3,0.25
24,"19",16,15,4,"2_","turk11-autismfanned2-5",3,0.25
24,"17",16,15,4,"2_","turk11-autismfanned2-5",3,0.25
24,"16",16,15,4,"2_","turk11-autismfanned2-5",3,0.25
24,"1",16,22,1,"3_","turk11-examfanned-3",4,0.2
24,"6",16,22,1,"3_","turk11-examfanned-3",4,0.2
24,"20",16,22,1,"3_","turk11-examfanned-3",4,0.2
24,"19",16,22,1,"3_","turk11-examfanned-3",4,0.2
24,"16",16,22,1,"3_","turk11-examfanned-3",4,0.2
24,"15",12,24,4,"3_","turk11-autismordered-4",8,1
24,"10",20,26,4,"3_","turk11-radontranef-4",9,0.25
24,"4",20,26,4,"3_","turk11-radontranef-4",9,0.25
24,"6",20,26,4,"3_","turk11-radontranef-4",9,0.25
24,"11",20,26,4,"3_","turk11-radontranef-4",9,0.25
24,"20",19,35,1,"1_","turk11-dialyzerheterogeneous-3",1,1
25,"12",12,51,4,"5_green box is different than others","turk11-autismordered-4",9,1
25,"10",10,44,4,"3_","turk11-dialyzernonlinear-1",7,1
25,"1",16,35,3,"1_","turk11-examfanned-5",11,1
25,"8",8,17,4,"3_","turk11-examcorr-2",1,1
25,"19",20,71,2,"1_","turk11-radontranef-4",2,1
25,"13",13,25,4,"3_","turk11-cyclone-1",8,1
25,"19",7,56,3,"1_","turk11-dialyzerheterogeneous-5",5,0.5
25,"7",7,56,3,"1_","turk11-dialyzerheterogeneous-5",5,0.5
25,"17",16,21,4,"2_","turk11-autismfanned2-5",6,1
27,"19",8,35,4,"2_","turk11-examcorr-2",10,1
27,"20",20,11,4,"3_","turk11-autismordered-3",11,1
27,"1",16,11,3,"4_","turk11-examfanned-3",4,1
27,"2",15,9,4,"2_","turk11-autismfanned2-2",7,1
27,"20",12,15,3,"3_","turk11-dialyzerheterogeneous-4",9,1
27,"10",18,19,3,"1_","turk11-radontranef-2",5,1
27,"13",13,15,4,"1234_","turk11-cyclone-2",8,1
27,"10",10,13,3,"3_","turk11-dialyzernonlinear-4",2,1
28,"20",19,24,3,"2_","turk11-dialyzerheterogeneous-3",10,1
28,"18",18,34,4,"1_","turk11-radontranef-2",2,1
28,"6",16,39,1,"1_","turk11-examfanned-5",6,1
28,"10",10,8,5,"3_","turk11-autismordered-1",8,1
28,"10",10,17,5,"3_","turk11-dialyzernonlinear-4",7,1
28,"15",15,25,3,"2_","turk11-autismfanned2-2",11,1
28,"17",10,19,5,"13_","turk11-examcorr-5",9,1
28,"13",13,55,4,"3_","turk11-cyclone-3",3,1
29,"10",10,16,4,"3_","turk11-dialyzernonlinear-4",4,1
29,"10",10,13,1,"3_","turk11-dialyzernonlinear-1",13,1
29,"19",18,45,4,"1_","turk11-examcorr-4",5,1
29,"15",15,39,4,"1_","turk11-radontranef-5",1,1
29,"18",10,41,3,"1_","turk11-dialyzerheterogeneous-2",11,1
29,"1",16,30,4,"1_","turk11-examfanned-3",12,0.5
29,"10",16,30,4,"1_","turk11-examfanned-3",12,0.5
29,"10",10,16,2,"3_","turk11-autismordered-5",9,1
29,"18",18,15,3,"2_","turk11-radontranef-2",8,1
29,"7",16,25,3,"2_","turk11-autismfanned2-5",14,1
29,"20",18,20,3,"1_","turk11-examcorr-4",10,0.5
29,"12",18,20,3,"1_","turk11-examcorr-4",10,0.5
29,"13",13,64,3,"1_","turk11-cyclone-3",6,1
29,"20",20,22,4,"2_","turk11-autismordered-3",3,1
30,"7",7,19,3,"2_","turk11-autismfanned2-3",4,1
30,"12",12,10,4,"3_","turk11-autismordered-4",6,1
30,"4",16,25,4,"3_","turk11-examfanned-4",7,1
30,"4",14,18,4,"3_","turk11-radontranef-3",5,1
30,"14",19,25,3,"3_","turk11-dialyzerheterogeneous-3",3,1
30,"6",6,11,3,"3_","turk11-examcorr-3",1,1
30,"13",13,17,3,"3_","turk11-cyclone-5",9,1
30,"10",10,18,3,"2_","turk11-dialyzernonlinear-2",8,1
31,"15",12,77,5,"1_","turk11-dialyzerheterogeneous-4",10,1
31,"16",16,235,4,"1_","turk11-autismfanned2-5",6,1
31,"10",10,55,3,"1_","turk11-dialyzernonlinear-5",11,1
31,"12",12,67,3,"1_","turk11-autismordered-4",7,0.333333333333333
31,"17",12,67,3,"1_","turk11-autismordered-4",7,0.333333333333333
31,"11",12,67,3,"1_","turk11-autismordered-4",7,0.333333333333333
31,"17",6,35,5,"1_","turk11-examcorr-3",1,1
31,"16",16,130,3,"1_","turk11-examfanned-4",8,1
31,"18",19,158,4,"1_","turk11-radontranef-1",5,1
31,"13",13,101,5,"1_","turk11-cyclone-2",3,1
33,"8",7,90,5,"1_","turk11-dialyzerheterogeneous-5",2,1
33,"2",16,82,5,"5_It is too thick","turk11-examfanned-5",10,1
33,"12",12,21,5,"4_","turk11-autismordered-4",1,1
33,"15",15,83,4,"4_","turk11-examcorr-1",3,1
33,"10",10,94,5,"4_","turk11-dialyzernonlinear-5",11,1
33,"20",14,116,5,"4_","turk11-radontranef-3",8,1
33,"13",13,96,4,"2_","turk11-cyclone-2",5,1
33,"7",7,70,5,"1_","turk11-autismfanned2-3",7,1
34,"2",13,38,1,"2_","turk11-cyclone-5",12,1
34,"2",13,138,1,"1_","turk11-cyclone-4",6,1
34,"4",10,193,1,"1_","turk11-autismfanned2-4",10,1
34,"1",16,128,1,"3_","turk11-examfanned-1",3,1
34,"1",19,94,1,"4_","turk11-dialyzerheterogeneous-1",1,1
34,"10",10,22,1,"1_","turk11-dialyzernonlinear-3",2,1
34,"20",20,107,1,"2_","turk11-autismordered-3",11,1
34,"2",15,25,1,"1_","turk11-radontranef-5",8,1
34,"10",10,23,1,"1_","turk11-examcorr-5",4,1
35,"16",16,83,1,"2_","turk11-autismfanned2-1",32,1
35,"10",10,46,1,"1_","turk11-dialyzernonlinear-3",44,1
35,"12",12,36,1,"4_","turk11-autismordered-4",24,1
35,"14",16,86,2,"5_Least number of sticks","turk11-examfanned-2",41,1
35,"18",18,42,1,"2_","turk11-radontranef-2",31,1
35,"13",13,85,1,"5_Looks most different, since thin","turk11-cyclone-1",25,1
35,"10",12,54,2,"2_","turk11-dialyzerheterogeneous-4",40,1
35,"10",10,32,1,"1_","turk11-examcorr-5",38,1
35,"7",7,46,3,"4_","turk11-autismfanned2-3",9,1
35,"10",10,30,2,"4_","turk11-autismordered-1",4,1
35,"10",10,17,1,"1_","turk11-examcorr-5",7,1
35,"19",13,65,3,"3_","turk11-cyclone-1",1,1
35,"20",14,43,1,"2_","turk11-radontranef-3",2,1
35,"15",16,88,2,"5_One stick is not in the bunch","turk11-examfanned-5",11,1
35,"19",19,55,2,"2_","turk11-dialyzerheterogeneous-3",10,1
35,"10",10,32,1,"1_","turk11-dialyzernonlinear-3",3,1
35,"13",13,75,1,"5_Dots are more than lines.","turk11-cyclone-3",43,1
35,"19",20,136,1,"2_","turk11-radontranef-4",29,1
35,"12",12,164,1,"4_","turk11-autismordered-4",27,1
35,"13",10,31,1,"2_","turk11-autismfanned2-4",35,1
35,"6",6,21,1,"2_","turk11-examcorr-3",42,1
35,"10",19,36,2,"4_","turk11-dialyzerheterogeneous-3",26,1
35,"10",10,45,1,"1_","turk11-dialyzernonlinear-5",33,1
35,"8",16,86,2,"5_This is the thinnest.","turk11-examfanned-2",37,1
35,"10",10,35,1,"5_Shape of the line is different","turk11-dialyzernonlinear-2",14,1
35,"7",16,33,1,"2_","turk11-autismfanned2-5",21,1
35,"13",13,595,2,"5_Lines are very less","turk11-cyclone-3",13,1
35,"8",8,28,1,"2_","turk11-examcorr-2",19,1
35,"19",19,62,2,"2_","turk11-dialyzerheterogeneous-3",12,1
35,"18",18,27,1,"2_","turk11-radontranef-2",22,1
35,"10",10,13,1,"4_","turk11-autismordered-1",20,1
35,"1",16,58,3,"5_Two lines are projecting in different direction.","turk11-examfanned-2",16,1
36,"17",7,16,1,"2_","turk11-autismfanned2-3",8,1
36,"10",10,11,1,"4_","turk11-dialyzernonlinear-5",1,1
36,"20",14,30,1,"2_","turk11-radontranef-3",10,1
36,"4",6,22,1,"2_","turk11-examcorr-3",7,1
36,"10",12,81,1,"2_","turk11-dialyzerheterogeneous-4",9,1
36,"13",13,61,1,"5_The lines are much less","turk11-cyclone-4",3,1
36,"19",16,140,2,"5_Not properly bunched","turk11-examfanned-2",4,1
36,"10",10,64,1,"4_","turk11-autismordered-5",2,1
37,"3",15,88,3,"2_","turk11-examcorr-1",5,1
37,"10",10,74,5,"4_","turk11-dialyzernonlinear-5",6,1
37,"19",7,118,3,"2_","turk11-dialyzerheterogeneous-5",4,1
37,"13",13,130,4,"4_","turk11-cyclone-2",8,1
37,"1",16,87,2,"4_","turk11-examfanned-5",3,1
37,"7",7,80,2,"4_","turk11-autismfanned2-3",2,1
37,"16",14,85,4,"1_","turk11-radontranef-3",10,1
37,"10",10,86,4,"4_","turk11-autismordered-5",9,1
38,"3",19,206,4,"14_","turk11-dialyzerheterogeneous-3",5,1
38,"19",16,266,3,"234_","turk11-examfanned-1",8,0.333333333333333
38,"13",16,266,3,"234_","turk11-examfanned-1",8,0.333333333333333
38,"5",16,266,3,"234_","turk11-examfanned-1",8,0.333333333333333
38,"19",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"20",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"16",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"11",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"13",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"10",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"5",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"6",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"1",19,63,3,"3_","turk11-autismordered-2",3,0.111111111111111
38,"15",19,286,3,"234_","turk11-radontranef-1",9,0.25
38,"18",19,286,3,"234_","turk11-radontranef-1",9,0.25
38,"20",19,286,3,"234_","turk11-radontranef-1",9,0.25
38,"16",19,286,3,"234_","turk11-radontranef-1",9,0.25
38,"16",16,251,4,"1234_","turk11-autismfanned2-5",6,0.333333333333333
38,"18",16,251,4,"1234_","turk11-autismfanned2-5",6,0.333333333333333
38,"17",16,251,4,"1234_","turk11-autismfanned2-5",6,0.333333333333333
38,"10",10,205,5,"4_","turk11-dialyzernonlinear-2",1,1
38,"13",13,185,3,"134_","turk11-cyclone-5",10,0.5
38,"14",13,185,3,"134_","turk11-cyclone-5",10,0.5
38,"18",18,228,4,"3_","turk11-examcorr-4",7,1
39,"19",19,19,1,"5_green, red and blue boxes are vertically displaced","turk11-autismordered-2",12,1
39,"2",15,38,1,"1_","turk11-radontranef-5",10,0.333333333333333
39,"11",15,38,1,"1_","turk11-radontranef-5",10,0.333333333333333
39,"20",15,38,1,"1_","turk11-radontranef-5",10,0.333333333333333
39,"10",10,26,1,"1_","turk11-dialyzernonlinear-1",1,1
39,"18",19,31,1,"1_","turk11-radontranef-1",14,1
39,"13",13,83,1,"4_","turk11-cyclone-5",7,1
39,"19",19,69,1,"5_green, red and blue boxes are vertically displaced","turk11-autismordered-2",4,1
39,"10",10,19,1,"5_green, red and blue boxes are vertically displaced","turk11-autismordered-1",15,1
39,"10",19,75,2,"2_","turk11-dialyzerheterogeneous-1",3,1
39,"4",16,168,3,"5_a small line is on top","turk11-examfanned-3",6,1
39,"8",8,18,1,"1_","turk11-examcorr-2",8,1
39,"15",15,82,1,"25_spread unevenly than others","turk11-autismfanned2-2",5,1
40,"10",10,124,1,"1_","turk11-dialyzernonlinear-2",6,1
40,"15",16,85,1,"1_","turk11-examfanned-5",5,1
40,"17",7,64,1,"1_","turk11-autismfanned2-3",2,1
40,"20",20,46,1,"3_","turk11-autismordered-3",1,1
40,"8",10,78,1,"1_","turk11-dialyzerheterogeneous-2",8,1
40,"11",15,48,1,"1_","turk11-radontranef-5",11,1
40,"15",15,35,1,"1_","turk11-examcorr-1",7,1
40,"13",13,149,1,"1_","turk11-cyclone-5",3,1
41,"15",15,31,3,"3_","turk11-autismfanned2-2",10,1
41,"14",13,66,5,"3_","turk11-cyclone-4",5,1
41,"20",20,43,4,"2_","turk11-radontranef-4",1,1
41,"10",10,68,2,"4_","turk11-dialyzerheterogeneous-2",2,1
41,"1",16,43,3,"1_","turk11-examfanned-3",7,1
41,"20",20,30,3,"3_","turk11-autismordered-3",9,1
41,"8",8,45,3,"3_","turk11-examcorr-2",6,1
41,"1",16,162,2,"1_","turk11-examfanned-2",12,1
41,"10",10,23,1,"4_","turk11-dialyzernonlinear-3",3,1
42,"19",19,125,1,"3_","turk11-dialyzerheterogeneous-1",5,0.333333333333333
42,"3",19,125,1,"3_","turk11-dialyzerheterogeneous-1",5,0.333333333333333
